mes	dia	anio	salta	lomitas	iguazu	corrientes	posadas	rioja	ceres	paso	sauce	parana	caseros	mendoza	reynolds	rosario	guale	laboulaye	pehuajo	junin	ezeiza	starosa	neuquen	bblanca	esquel	gallegos
6	27	1961	0	0	0	-99.9	0	0	0.8	0	0.3	0.2	0	0	0	3.4	-99.9	0	3	2.8	12.2	0	0	0	0	0
6	28	1961	0	1.9	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0.3	0	0	0	0	0
6	29	1961	0	0.3	0	-99.9	0.2	0	0.9	13	4.3	6	0	0	0	8.1	-99.9	2.4	0	0	0	0	0	0	0	0
6	30	1961	0.3	0.9	0	-99.9	0	0	0	0.5	0	1	5.6	0	1	2.6	-99.9	8.2	1.7	10.2	8.3	16.2	2.5	0	0	0
7	1	1961	0	0.2	0	-99.9	0	0	0	8.5	0	0	1.6	0	0	0	-99.9	0	0.2	0	0.2	0	0	7.4	0	0
7	2	1961	0	0.2	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0.2
7	3	1961	0	0	0	-99.9	0	0	0	0	0.1	0.2	0	0	0	0	-99.9	0	0	0	0	0	0	0	9.5	0.4
7	4	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0.3	0.6	0	2.2	0	0	0.2
7	5	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0.8	0.1	0.2	0.4	0	0	4.4	0.6	0
7	6	1961	3.8	3.8	0	-99.9	15.1	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0.2	0	0
7	7	1961	0	0.2	0	-99.9	22.7	0	0	0.3	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
7	8	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
7	9	1961	0	0	2.6	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
7	10	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	0
7	11	1961	0	0	0	-99.9	0	0	0	2	0	0	0	0	0	0	-99.9	0	0.3	0	0	0	0	0	4.1	0
7	12	1961	0	0	0	-99.9	0	0	0	0	0	0	0	0	0	0	-99.9	0	3.5	0	0	4	0.2	0.2	0	0
7	13	1961	0	0	3.8	-99.9	16.8	0	0	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	0	3
7	14	1961	0	0	11.3	-99.9	21.8	0	0.1	0	0	0	0	0	0	0	-99.9	0	0	0	0	0	0	0	28.4	0
7	15	1961	0	0	1.6	-99.9	23.5	0	0	18	0	0	0	0	0	0	-99.9	0	0	0	0	0	0.3	0	11.2	0
